_max_adv,_min_discrew,_max_discrew,_min_obs,_std_act,_min_act,_max_act,_mean_adv,_mean_act,_std_discrew,_MeanReward,ExplainedVarOld,Steps,_lr_multiplier,ExplainedVarNew,PolicyLoss,_Episode,_mean_obs,Beta,ValFuncLoss,KL,_mean_discrew,_std_adv,PolicyEntropy,_min_adv,_max_obs,_std_obs
2.002764114362956,-456.27587682194877,-219.37632377303643,-0.8961855327920923,2.9488053,-6.8438964,6.7472806,1.1139527772274807e-16,0.3437612,2146.3453748279576,-10543.6,-0.0005540201641249798,893,1.0,-1.0665206582327613e-06,-0.0133593865,20,0.22388385170144628,1.5,55221.81408813535,0.0067768986,-235.76620106423582,0.9999999669811228,3.8350317,-4.954154570222276,4.4240029306710476,0.21418307256621402
1.2696925879487757,-703.8434063214629,-226.64641719289332,-0.9118282477354286,3.0622506,-5.607065,7.0758433,8.492542658487253e-17,-0.09108662,15606.075850664882,-12548.95,-0.022083683494248385,1004,1.0,1.305182609767641e-07,-0.005613987,40,0.027288079470477452,1.5,98881.21670506043,0.0024905587,-297.9487951798646,0.9999999808695813,3.828019,-4.962839122519207,1.4745133724155595,0.09011678295508803
1.540782120368641,-482.52510537242995,-233.19533896166692,-0.861432229849903,3.0433755,-7.664032,5.5414844,-2.1853247584888846e-16,0.010643237,6870.209245787314,-11055.8,7.759131492868221e-08,1138,1.0,1.16091255164541e-07,-0.0037469538,60,0.01624107882673459,1.5,73235.46806834808,0.003159495,-272.58099591985035,0.9999999718496985,3.8249946,-4.492206434056728,1.3209481634966078,0.06752399083331506
1.6906083079990528,-491.94449020425316,-234.93984753755998,-0.9414693375523685,2.9448519,-6.027654,6.8597436,1.1831999981982387e-16,-0.04392179,2811.356000125706,-10556.0,2.692059737352537e-07,1141,1.0,2.894693068578036e-07,-0.010119247,80,0.02034269158201538,1.5,57914.988534326876,0.005461861,-254.82799266841792,0.9999999702037508,3.8227959,-5.023517236095056,1.6625165278558258,0.07907299255554709
1.6754148090047851,-503.82174320247947,-236.93789684034797,-1.0058994248970479,2.9149156,-5.579165,5.9557886,1.340646671245472e-16,-0.00652824,3936.784190395311,-10573.15,5.327740042471163e-07,1484,1.0,3.1117801102542586e-07,-0.004321547,100,0.05534992249790429,1.5,61028.19418588586,0.0016542975,-265.18341090189006,0.9999999702188145,3.819859,-5.308601875285461,2.31105460916984,0.09481908142191701
1.5576130435249163,-511.8379943566899,-242.99619852320316,-0.8501002696364582,2.922616,-6.522272,5.350287,-1.4916922374249829e-16,-0.051686093,3765.1958536699635,-10570.4,2.8055039524854664e-07,1429,1.0,1.9573087139956868e-07,-0.0026908119,120,0.04495293732240111,1.0,59224.23332323744,0.0011882694,-267.91638504046534,0.9999999706628835,3.8188133,-5.265868082729616,1.306461253505976,0.08510972711622315
1.6268530302285382,-514.9747725067703,-244.58192654269854,-0.9653181911584202,2.905527,-6.2032967,5.587922,1.4105066714840698e-16,0.020274002,7334.450589233363,-11059.35,1.679579888502758e-07,1209,1.0,1.3588578406942275e-07,-0.011229886,140,0.021485920317973497,1.5,69853.02644009801,0.007416198,-287.5168171531103,0.9999999735626462,3.8174472,-4.484931023576875,1.2438909506899187,0.0747635229092402
1.4029654277232086,-521.858476236963,-248.6356435287186,-0.8240294267005409,2.8516698,-6.49613,5.282808,-4.4353479136086154e-18,-0.031749193,5057.228716659359,-10579.05,7.125392109674777e-08,1602,1.0,5.7382678608774995e-08,-0.0032370398,160,0.044980243697925096,1.0,59682.10610347395,0.0013636805,-278.7768848158559,0.9999999700700419,3.8135548,-5.506357665047343,1.5669584765517597,0.07448533747332141
1.2834739122438672,-527.0870444419547,-251.2260085638443,-0.8255897952527671,2.9823298,-6.9332666,6.1860037,-8.514592399761536e-17,-0.04459771,10548.75454852398,-11582.3,9.540209233716013e-08,1669,1.0,6.941970043250478e-08,-0.0062658032,180,0.04208538626847654,1.5,77295.79497744262,0.00646435,-311.118776689728,0.9999999751561545,3.8103375,-4.4261338845130815,1.5193811820041536,0.07615430784668972
1.9327661582271976,-531.899442333824,-0.026601622522321785,-0.9041759228582436,2.9805744,-5.006706,6.0812826,4.3378677396831513e-17,0.011038865,13801.897144814842,-10580.85,2.3048338393394374e-07,1638,1.0,1.1329094673495632e-07,-0.0040699234,200,0.06162183298858376,1.5,66233.57934332885,0.002931583,-289.42098469871183,0.999999975189174,3.8077874,-4.61245269186895,1.4660391665106094,0.08499487364439502
1.7812375070669433,-270.4188513162278,-0.02704188513162278,-0.8539668839555278,2.838473,-7.6542597,5.3642893,2.814030636673664e-17,0.030111104,12030.732088389586,-7600.25,1.1049144466035443e-07,2020,1.0,1.136190150852201e-07,-0.0027564138,220,0.0638512144422027,1.0,31142.564167261706,0.0012557679,-205.7026620335632,0.9999999703296674,3.8073196,-2.230070788041087,2.076369909465862,0.07671252950915174
1.3653899202793898,-819.7774864470825,-0.027339583728468342,-0.793062150290246,2.8948078,-6.658706,6.8104444,-2.931584263063848e-17,-0.02824979,42328.79143447165,-9096.05,1.761153080259703e-06,1939,1.0,-1.820853690048807e-09,-0.0038268836,240,0.03975217528082211,1.0,73490.76323587944,0.003798875,-250.22080540293058,0.9999999809629123,3.8031087,-6.3078756726236564,1.477164397148969,0.06266692584409717
